,OTU_ID,Closeness_RAW,Date,Sample_type,Genotype,CLose_log,combine
1120,Otu13045,1.88E-05,4,Soil near roots,RNAi,-4.726327768,4Soil near rootsRNAi
1121,Otu529,1.56E-06,4,Soil near roots,RNAi,-5.807266386,4Soil near rootsRNAi
1122,Otu823,1.56E-06,4,Soil near roots,RNAi,-5.806721825,4Soil near rootsRNAi
1123,Otu3425,1.91E-05,4,Soil near roots,RNAi,-4.718327272,4Soil near rootsRNAi
1124,Otu715,1.94E-05,4,Soil near roots,RNAi,-4.713171215,4Soil near rootsRNAi
1125,Otu542,1.89E-05,4,Soil near roots,RNAi,-4.722823063,4Soil near rootsRNAi
1126,Otu939,1.92E-05,4,Soil near roots,RNAi,-4.715736003,4Soil near rootsRNAi
1127,Otu660,1.86E-05,4,Soil near roots,RNAi,-4.731193772,4Soil near rootsRNAi
1128,Otu1166,1.83E-05,4,Soil near roots,RNAi,-4.73700966,4Soil near rootsRNAi
1129,Otu1581,1.90E-05,4,Soil near roots,RNAi,-4.721555073,4Soil near rootsRNAi
1130,Otu7272,1.89E-05,4,Soil near roots,RNAi,-4.722535208,4Soil near rootsRNAi
1131,Otu3583,1.88E-05,4,Soil near roots,RNAi,-4.726238047,4Soil near rootsRNAi
1132,Otu639,1.87E-05,4,Soil near roots,RNAi,-4.728791914,4Soil near rootsRNAi
1133,Otu716,1.89E-05,4,Soil near roots,RNAi,-4.723972577,4Soil near rootsRNAi
1134,Otu701,1.90E-05,4,Soil near roots,RNAi,-4.721315881,4Soil near rootsRNAi
1135,Otu625,1.87E-05,4,Soil near roots,RNAi,-4.727557522,4Soil near rootsRNAi
1136,Otu1212,1.76E-05,4,Soil near roots,RNAi,-4.753376203,4Soil near rootsRNAi
1137,Otu807,1.93E-05,4,Soil near roots,RNAi,-4.714664993,4Soil near rootsRNAi
1138,Otu737,1.86E-05,4,Soil near roots,RNAi,-4.72975587,4Soil near rootsRNAi
1139,Otu638,1.89E-05,4,Soil near roots,RNAi,-4.722420013,4Soil near rootsRNAi
1140,Otu14279,1.89E-05,4,Soil near roots,RNAi,-4.723135375,4Soil near rootsRNAi
1141,Otu718,1.83E-05,4,Soil near roots,RNAi,-4.737359647,4Soil near rootsRNAi
1142,Otu1050,1.88E-05,4,Soil near roots,RNAi,-4.725732,4Soil near rootsRNAi
1143,Otu3942,1.82E-05,4,Soil near roots,RNAi,-4.74112007,4Soil near rootsRNAi
1144,Otu4291,1.91E-05,4,Soil near roots,RNAi,-4.718360499,4Soil near rootsRNAi
1145,Otu1312,1.89E-05,4,Soil near roots,RNAi,-4.724218506,4Soil near rootsRNAi
1146,Otu9672,1.84E-05,4,Soil near roots,RNAi,-4.735862271,4Soil near rootsRNAi
1147,Otu1124,1.83E-05,4,Soil near roots,RNAi,-4.736683281,4Soil near rootsRNAi
1148,Otu1542,1.89E-05,4,Soil near roots,RNAi,-4.723192881,4Soil near rootsRNAi
1149,Otu1235,1.89E-05,4,Soil near roots,RNAi,-4.723898771,4Soil near rootsRNAi
1150,Otu591,1.80E-05,4,Soil near roots,RNAi,-4.74435558,4Soil near rootsRNAi
1151,Otu581,1.93E-05,4,Soil near roots,RNAi,-4.714857635,4Soil near rootsRNAi
1152,Otu725,1.84E-05,4,Soil near roots,RNAi,-4.734503801,4Soil near rootsRNAi
1153,Otu862,1.93E-05,4,Soil near roots,RNAi,-4.713994268,4Soil near rootsRNAi
1154,Otu1059,1.56E-06,4,Soil near roots,RNAi,-5.807806884,4Soil near rootsRNAi
1155,Otu1182,1.87E-05,4,Soil near roots,RNAi,-4.727817686,4Soil near rootsRNAi
1156,Otu608,1.55E-06,4,Soil near roots,RNAi,-5.808348737,4Soil near rootsRNAi
1157,Otu798,1.91E-05,4,Soil near roots,RNAi,-4.720076573,4Soil near rootsRNAi
1158,Otu946,1.91E-05,4,Soil near roots,RNAi,-4.719811729,4Soil near rootsRNAi
1159,Otu1156,1.92E-05,4,Soil near roots,RNAi,-4.716086854,4Soil near rootsRNAi
1160,Otu2091,1.92E-05,4,Soil near roots,RNAi,-4.716562555,4Soil near rootsRNAi
1161,Otu795,1.87E-05,4,Soil near roots,RNAi,-4.729245807,4Soil near rootsRNAi
1162,Otu2002,1.56E-06,4,Soil near roots,RNAi,-5.807806884,4Soil near rootsRNAi
1163,Otu878,1.90E-05,4,Soil near roots,RNAi,-4.72029164,4Soil near rootsRNAi
1164,Otu830,1.92E-05,4,Soil near roots,RNAi,-4.715602271,4Soil near rootsRNAi
1165,Otu2722,1.81E-05,4,Soil near roots,RNAi,-4.742057077,4Soil near rootsRNAi
1166,Otu593,1.88E-05,4,Soil near roots,RNAi,-4.726776095,4Soil near rootsRNAi
1167,Otu1195,1.86E-05,4,Soil near roots,RNAi,-4.73003898,4Soil near rootsRNAi
1168,Otu1360,1.87E-05,4,Soil near roots,RNAi,-4.727085578,4Soil near rootsRNAi
1169,Otu1151,1.80E-05,4,Soil near roots,RNAi,-4.745176323,4Soil near rootsRNAi
1170,Otu1060,1.84E-05,4,Soil near roots,RNAi,-4.735023717,4Soil near rootsRNAi
1171,Otu1042,1.87E-05,4,Soil near roots,RNAi,-4.728654031,4Soil near rootsRNAi
1172,Otu1065,1.55E-06,4,Soil near roots,RNAi,-5.808348737,4Soil near rootsRNAi
1173,Otu1370,1.92E-05,4,Soil near roots,RNAi,-4.716203741,4Soil near rootsRNAi
1174,Otu1276,1.84E-05,4,Soil near roots,RNAi,-4.734671842,4Soil near rootsRNAi
1175,Otu1288,1.81E-05,4,Soil near roots,RNAi,-4.74193121,4Soil near rootsRNAi
1176,Otu13583,1.90E-05,4,Soil near roots,RNAi,-4.720200663,4Soil near rootsRNAi
1177,Otu627,1.92E-05,4,Soil near roots,RNAi,-4.717778647,4Soil near rootsRNAi
1178,Otu945,1.55E-06,4,Soil near roots,RNAi,-5.808348737,4Soil near rootsRNAi
1179,Otu3121,1.89E-05,4,Soil near roots,RNAi,-4.723332509,4Soil near rootsRNAi
1180,Otu1034,1.91E-05,4,Soil near roots,RNAi,-4.719182076,4Soil near rootsRNAi
1181,Otu9757,1.86E-05,4,Soil near roots,RNAi,-4.730709618,4Soil near rootsRNAi
1182,Otu1635,1.82E-05,4,Soil near roots,RNAi,-4.739793786,4Soil near rootsRNAi
