SampleID	Type	Site	Year	Plantstage	Line	Genotype2	Genotype	Treatment
RHZTS22	Rhizosphere	Field	2015	7leafstage	621-1	pks44	RNAi	NA
RHZTS6	Rhizosphere	Field	2015	7leafstage	621-1	pks44	RNAi	NA
RHZTS18	Rhizosphere	Field	2015	7leafstage	621-1	pks44	RNAi	NA
RHZTS40	Rhizosphere	Field	2015	7leafstage	621-1	pks44	RNAi	NA
RHZTS62	Rhizosphere	Field	2015	Grainfill	621-1	pks44	RNAi	NA
RHZTS46	Rhizosphere	Field	2015	Grainfill	621-1	pks44	RNAi	NA
RHZTS58	Rhizosphere	Field	2015	Grainfill	621-1	pks44	RNAi	NA
RHZTS80	Rhizosphere	Field	2015	Grainfill	621-1	pks44	RNAi	NA
RHZTS5	Rhizosphere	Field	2015	7leafstage	WT-1	WT	WT	NA
RHZTS23	Rhizosphere	Field	2015	7leafstage	WT-1	WT	WT	NA
RHZTS14	Rhizosphere	Field	2015	7leafstage	WT-1	WT	WT	NA
RHZTS37	Rhizosphere	Field	2015	7leafstage	WT-1	WT	WT	NA
RHZTS45	Rhizosphere	Field	2015	Grainfill	WT-1	WT	WT	NA
RHZTS63	Rhizosphere	Field	2015	Grainfill	WT-1	WT	WT	NA
RHZTS54	Rhizosphere	Field	2015	Grainfill	WT-1	WT	WT	NA
RHZTS77	Rhizosphere	Field	2015	Grainfill	WT-1	WT	WT	NA
RHZTS1	Rhizosphere	Field	2015	7leafstage	WT-2	WT	WT	NA
RHZTS21	Rhizosphere	Field	2015	7leafstage	WT-2	WT	WT	NA
RHZTS32	Rhizosphere	Field	2015	7leafstage	WT-2	WT	WT	NA
RHZTS17	Rhizosphere	Field	2015	7leafstage	WT-2	WT	WT	NA
RHZTS41	Rhizosphere	Field	2015	Grainfill	WT-2	WT	WT	NA
RHZTS61	Rhizosphere	Field	2015	Grainfill	WT-2	WT	WT	NA
RHZTS72	Rhizosphere	Field	2015	Grainfill	WT-2	WT	WT	NA
RHZTS57	Rhizosphere	Field	2015	Grainfill	WT-2	WT	WT	NA
RootTS9	Endosphere	Field	2015	7leafstage	414-2	pks40	RNAi	NA
RootTS29	Endosphere	Field	2015	7leafstage	414-2	pks40	RNAi	NA
RootTS15	Endosphere	Field	2015	7leafstage	414-2	pks40	RNAi	NA
RootTS39	Endosphere	Field	2015	7leafstage	414-2	pks40	RNAi	NA
RootTS49	Endosphere	Field	2015	Grainfill	414-2	pks40	RNAi	NA
RootTS69	Endosphere	Field	2015	Grainfill	414-2	pks40	RNAi	NA
RootTS55	Endosphere	Field	2015	Grainfill	414-2	pks40	RNAi	NA
RootTS79	Endosphere	Field	2015	Grainfill	414-2	pks40	RNAi	NA
RootTS3	Endosphere	Field	2015	7leafstage	414-4	pks40	RNAi	NA
RootTS24	Endosphere	Field	2015	7leafstage	414-4	pks40	RNAi	NA
RootTS31	Endosphere	Field	2015	7leafstage	414-4	pks40	RNAi	NA
RootTS16	Endosphere	Field	2015	7leafstage	414-4	pks40	RNAi	NA
